	S0	S1	S2	S3	label
230	1	0.23	0.02	0.75	0.54
231	1	0.48	0.07	0.45	0.04
232	1	0.4	0.22	0.38	0.2
233	1	0.93	0.71	-0.64	-0.86
234	1	0.46	0.43	0.11	0.08
235	1	0.8	0.5	-0.3	-0.6
236	1	0.97	0.52	-0.49	-0.94
237	1	0.75	0.49	-0.24	-0.5
238	1	0.19	0.06	0.75	0.62
239	1	0.73	0.52	-0.25	-0.46
240	1	0.06	0.02	0.92	0.88
241	1	0.98	0.63	-0.61	-0.96
242	1	0.79	0.48	-0.27	-0.58
243	1	0.35	0.27	0.38	0.3
244	1	0.39	0.1	0.51	0.22
245	1	0.68	0.27	0.05	-0.36
246	1	0.42	0.06	0.52	0.16
247	1	0.49	0.21	0.3	0.02
248	1	0.83	0.73	-0.56	-0.66
249	1	0.39	0.17	0.44	0.22
250	1	0.01	0.0	0.99	0.98
251	1	0.13	0.11	0.76	0.74
252	1	0.83	0.02	0.15	-0.66
253	1	0.84	0.62	-0.46	-0.68
254	1	0.2	0.03	0.77	0.6
255	1	0.65	0.1	0.25	-0.3
256	1	0.8	0.34	-0.14	-0.6
257	1	0.74	0.54	-0.28	-0.48
258	1	0.16	0.14	0.7	0.68
259	1	0.76	0.49	-0.25	-0.52
260	1	0.28	0.27	0.45	0.44
261	1	0.3	0.07	0.63	0.4
262	1	0.33	0.33	0.34	0.34
263	1	0.36	0.12	0.52	0.28
264	1	0.6	0.45	-0.05	-0.2
265	1	0.83	0.8	-0.63	-0.66
266	1	0.41	0.24	0.35	0.18
267	1	0.38	0.08	0.54	0.24
268	1	0.36	0.07	0.57	0.28
269	1	0.83	0.19	-0.02	-0.66
270	1	0.46	0.31	0.23	0.08
271	1	0.5	0.46	0.04	0.0
272	1	0.55	0.0	0.45	-0.1
273	1	0.77	0.28	-0.05	-0.54
274	1	0.33	0.06	0.61	0.34
275	1	0.9	0.47	-0.37	-0.8
276	1	0.35	0.06	0.59	0.3
277	1	0.94	0.39	-0.33	-0.88
278	1	0.67	0.01	0.32	-0.34
279	1	0.44	0.16	0.4	0.12
280	1	0.96	0.32	-0.28	-0.92
281	1	0.39	0.27	0.34	0.22
282	1	0.5	0.29	0.21	0.0
283	1	0.5	0.49	0.01	0.0
284	1	0.84	0.71	-0.55	-0.68
285	1	0.73	0.66	-0.39	-0.46
286	1	0.05	0.0	0.95	0.9
287	1	0.61	0.18	0.21	-0.22
288	1	0.96	0.39	-0.35	-0.92
289	1	0.88	0.78	-0.66	-0.76
290	1	0.51	0.01	0.48	-0.02
291	1	0.68	0.03	0.29	-0.36
292	1	0.66	0.55	-0.21	-0.32
293	1	0.12	0.1	0.78	0.76
294	1	0.6	0.25	0.15	-0.2
295	1	0.61	0.33	0.06	-0.22
296	1	0.09	0.08	0.83	0.82
297	1	0.49	0.04	0.47	0.02
298	1	0.52	0.0	0.48	-0.04
299	1	0.02	0.01	0.97	0.96
300	1	0.94	0.8	-0.74	-0.88
301	1	0.47	0.22	0.31	0.06
302	1	0.16	0.01	0.83	0.68
303	1	0.73	0.03	0.24	-0.46
304	1	0.72	0.08	0.2	-0.44
305	1	0.95	0.92	-0.87	-0.9
306	1	0.09	0.06	0.85	0.82
307	1	0.06	0.03	0.91	0.88
308	1	0.23	0.16	0.61	0.54
309	1	0.81	0.33	-0.14	-0.62
310	1	0.15	0.1	0.75	0.7
311	1	0.77	0.0	0.23	-0.54
312	1	0.38	0.17	0.45	0.24
313	1	0.92	0.42	-0.34	-0.84
314	1	0.18	0.04	0.78	0.64
315	1	0.68	0.47	-0.15	-0.36
316	1	0.17	0.0	0.83	0.66
317	1	0.41	0.27	0.32	0.18
318	1	0.41	0.27	0.32	0.18
319	1	0.42	0.1	0.48	0.16
320	1	0.86	0.55	-0.41	-0.72
321	1	0.62	0.51	-0.13	-0.24
322	1	0.85	0.74	-0.59	-0.7
323	1	0.77	0.29	-0.06	-0.54
324	1	0.66	0.52	-0.18	-0.32
325	1	0.56	0.02	0.42	-0.12
326	1	0.82	0.47	-0.29	-0.64
327	1	0.73	0.14	0.13	-0.46
328	1	0.65	0.55	-0.2	-0.3
329	1	0.13	0.02	0.85	0.74
330	1	0.07	0.03	0.9	0.86
331	1	0.67	0.48	-0.15	-0.34
332	1	0.23	0.04	0.73	0.54
333	1	0.49	0.25	0.26	0.02
334	1	0.12	0.07	0.81	0.76
335	1	0.26	0.16	0.58	0.48
336	1	0.6	0.02	0.38	-0.2
337	1	0.62	0.38	0.0	-0.24
338	1	0.17	0.16	0.67	0.66
339	1	0.13	0.03	0.84	0.74
340	1	0.43	0.34	0.23	0.14
341	1	0.93	0.78	-0.71	-0.86
342	1	0.06	0.03	0.91	0.88
343	1	0.3	0.05	0.65	0.4
344	1	0.27	0.25	0.48	0.46
345	1	0.78	0.52	-0.3	-0.56
346	1	0.3	0.08	0.62	0.4
347	1	0.74	0.24	0.02	-0.48
348	1	0.43	0.41	0.16	0.14
349	1	0.74	0.05	0.21	-0.48
350	1	0.63	0.3	0.07	-0.26
351	1	1.0	0.92	-0.92	-1.0
352	1	0.25	0.1	0.65	0.5
353	1	0.44	0.22	0.34	0.12
354	1	0.23	0.17	0.6	0.54
355	1	0.76	0.62	-0.38	-0.52
356	1	0.1	0.02	0.88	0.8
357	1	0.91	0.03	0.06	-0.82
358	1	0.03	0.0	0.97	0.94
359	1	0.48	0.13	0.39	0.04
360	1	0.03	0.02	0.95	0.94
361	1	0.58	0.02	0.4	-0.16
362	1	0.33	0.03	0.64	0.34
363	1	0.16	0.02	0.82	0.68
364	1	0.96	0.41	-0.37	-0.92
365	1	0.39	0.06	0.55	0.22
366	1	0.55	0.12	0.33	-0.1
367	1	0.72	0.02	0.26	-0.44
368	1	0.39	0.18	0.43	0.22
369	1	0.89	0.76	-0.65	-0.78
370	1	0.43	0.12	0.45	0.14
371	1	0.55	0.25	0.2	-0.1
372	1	0.24	0.2	0.56	0.52
373	1	0.22	0.14	0.64	0.56
374	1	0.79	0.45	-0.24	-0.58
375	1	0.69	0.27	0.04	-0.38
376	1	0.51	0.16	0.33	-0.02
377	1	0.05	0.05	0.9	0.9
378	1	0.31	0.24	0.45	0.38
379	1	0.31	0.21	0.48	0.38
380	1	0.12	0.11	0.77	0.76
381	1	0.94	0.87	-0.81	-0.88
382	1	0.97	0.82	-0.79	-0.94
383	1	0.87	0.51	-0.38	-0.74
384	1	0.49	0.35	0.16	0.02
385	1	0.35	0.32	0.33	0.3
386	1	0.03	0.0	0.97	0.94
387	1	0.83	0.24	-0.07	-0.66
388	1	0.51	0.43	0.06	-0.02
389	1	0.82	0.77	-0.59	-0.64
390	1	0.34	0.14	0.52	0.32
391	1	0.21	0.19	0.6	0.58
392	1	0.82	0.05	0.13	-0.64
393	1	0.62	0.06	0.32	-0.24
394	1	0.39	0.16	0.45	0.22
395	1	0.69	0.51	-0.2	-0.38
396	1	0.02	0.02	0.96	0.96
397	1	0.81	0.24	-0.05	-0.62
398	1	0.84	0.13	0.03	-0.68
399	1	0.32	0.27	0.41	0.36
400	1	0.94	0.03	0.03	-0.88
401	1	0.24	0.05	0.71	0.52
402	1	0.39	0.16	0.45	0.22
403	1	0.51	0.45	0.04	-0.02
404	1	0.75	0.32	-0.07	-0.5
405	1	0.26	0.01	0.73	0.48
406	1	0.38	0.08	0.54	0.24
407	1	0.82	0.24	-0.06	-0.64
408	1	0.5	0.17	0.33	0.0
409	1	0.83	0.51	-0.34	-0.66
410	1	0.75	0.24	0.01	-0.5
411	1	0.35	0.21	0.44	0.3
412	1	0.26	0.21	0.53	0.48
413	1	0.08	0.06	0.86	0.84
414	1	0.23	0.16	0.61	0.54
415	1	0.24	0.03	0.73	0.52
416	1	0.01	0.0	0.99	0.98
417	1	0.73	0.52	-0.25	-0.46
418	1	0.41	0.13	0.46	0.18
419	1	0.75	0.35	-0.1	-0.5
420	1	0.79	0.17	0.04	-0.58
421	1	0.66	0.51	-0.17	-0.32
422	1	0.01	0.01	0.98	0.98
423	1	0.93	0.05	0.02	-0.86
424	1	0.65	0.0	0.35	-0.3
425	1	0.41	0.39	0.2	0.18
426	1	0.01	0.0	0.99	0.98
427	1	0.38	0.0	0.62	0.24
428	1	0.39	0.37	0.24	0.22
429	1	0.34	0.26	0.4	0.32
430	1	0.89	0.27	-0.16	-0.78
431	1	0.62	0.07	0.31	-0.24
432	1	0.23	0.13	0.64	0.54
433	1	0.87	0.79	-0.66	-0.74
434	1	0.93	0.35	-0.28	-0.86
435	1	0.38	0.25	0.37	0.24
436	1	0.47	0.01	0.52	0.06
437	1	0.08	0.04	0.88	0.84
438	1	0.07	0.05	0.88	0.86
439	1	0.11	0.04	0.85	0.78
440	1	0.29	0.23	0.48	0.42
441	1	0.56	0.54	-0.1	-0.12
442	1	0.99	0.54	-0.53	-0.98
443	1	0.39	0.19	0.42	0.22
444	1	0.04	0.02	0.94	0.92
445	1	0.89	0.17	-0.06	-0.78
446	1	0.43	0.34	0.23	0.14
447	1	0.15	0.04	0.81	0.7
448	1	0.54	0.2	0.26	-0.08
449	1	0.92	0.39	-0.31	-0.84
450	1	0.5	0.2	0.3	0.0
451	1	0.51	0.26	0.23	-0.02
452	1	0.81	0.79	-0.6	-0.62
453	1	0.14	0.01	0.85	0.72
454	1	0.99	0.83	-0.82	-0.98
455	1	0.27	0.16	0.57	0.46
456	1	0.61	0.04	0.35	-0.22
457	1	0.29	0.07	0.64	0.42
458	1	0.16	0.15	0.69	0.68
459	1	0.13	0.0	0.87	0.74
460	1	0.31	0.01	0.68	0.38
461	1	0.2	0.08	0.72	0.6
462	1	0.95	0.44	-0.39	-0.9
463	1	0.04	0.03	0.93	0.92
464	1	0.43	0.15	0.42	0.14
465	1	0.28	0.07	0.65	0.44
466	1	1.0	0.16	-0.16	-1.0
467	1	0.39	0.0	0.61	0.22
468	1	0.09	0.01	0.9	0.82
469	1	0.69	0.59	-0.28	-0.38
470	1	0.74	0.01	0.25	-0.48
471	1	0.59	0.57	-0.16	-0.18
472	1	0.91	0.75	-0.66	-0.82
473	1	0.31	0.05	0.64	0.38
474	1	0.1	0.06	0.84	0.8
475	1	0.53	0.25	0.22	-0.06
476	1	0.05	0.02	0.93	0.9
477	1	0.29	0.22	0.49	0.42
478	1	0.71	0.24	0.05	-0.42
479	1	0.65	0.18	0.17	-0.3
480	1	0.38	0.17	0.45	0.24
481	1	0.18	0.02	0.8	0.64
482	1	0.75	0.46	-0.21	-0.5
483	1	0.57	0.35	0.08	-0.14
484	1	0.29	0.16	0.55	0.42
485	1	0.87	0.79	-0.66	-0.74
486	1	0.02	0.01	0.97	0.96
487	1	0.57	0.1	0.33	-0.14
488	1	0.84	0.13	0.03	-0.68
489	1	0.62	0.43	-0.05	-0.24
490	1	0.83	0.35	-0.18	-0.66
491	1	0.6	0.58	-0.18	-0.2
492	1	0.13	0.05	0.82	0.74
493	1	0.96	0.3	-0.26	-0.92
494	1	0.31	0.01	0.68	0.38
495	1	0.24	0.17	0.59	0.52
496	1	0.99	0.56	-0.55	-0.98
497	1	0.21	0.08	0.71	0.58
498	1	0.22	0.14	0.64	0.56
499	1	0.17	0.17	0.66	0.66
500	1	1.0	0.27	-0.27	-1.0
501	1	0.95	0.09	-0.04	-0.9
502	1	0.2	0.04	0.76	0.6
503	1	0.9	0.56	-0.46	-0.8
504	1	0.06	0.06	0.88	0.88
505	1	0.41	0.11	0.48	0.18
506	1	0.94	0.12	-0.06	-0.88
507	1	0.98	0.15	-0.13	-0.96
508	1	0.47	0.43	0.1	0.06
509	1	0.75	0.31	-0.06	-0.5
510	1	0.29	0.27	0.44	0.42
511	1	0.19	0.08	0.73	0.62
512	1	0.24	0.21	0.55	0.52
513	1	0.35	0.11	0.54	0.3
514	1	0.93	0.38	-0.31	-0.86
515	1	0.03	0.02	0.95	0.94
516	1	0.05	0.03	0.92	0.9
517	1	0.6	0.04	0.36	-0.2
518	1	0.38	0.09	0.53	0.24
519	1	0.05	0.0	0.95	0.9
520	1	0.79	0.04	0.17	-0.58
521	1	0.02	0.0	0.98	0.96
522	1	0.76	0.51	-0.27	-0.52
523	1	0.59	0.5	-0.09	-0.18
524	1	0.52	0.38	0.1	-0.04
525	1	0.39	0.12	0.49	0.22
526	1	0.87	0.73	-0.6	-0.74
527	1	0.0	0.0	1.0	1.0
528	1	0.16	0.14	0.7	0.68
529	1	0.56	0.5	-0.06	-0.12
530	1	0.57	0.5	-0.07	-0.14
531	1	0.12	0.07	0.81	0.76
532	1	0.39	0.23	0.38	0.22
533	1	0.7	0.3	0.0	-0.4
534	1	0.74	0.2	0.06	-0.48
535	1	0.18	0.0	0.82	0.64
536	1	0.71	0.23	0.06	-0.42
537	1	0.42	0.18	0.4	0.16
538	1	0.66	0.38	-0.04	-0.32
539	1	0.94	0.04	0.02	-0.88
540	1	0.11	0.1	0.79	0.78
541	1	0.71	0.26	0.03	-0.42
542	1	0.99	0.53	-0.52	-0.98
543	1	0.3	0.16	0.54	0.4
544	1	0.25	0.03	0.72	0.5
545	1	0.6	0.34	0.06	-0.2
546	1	0.3	0.28	0.42	0.4
547	1	0.79	0.15	0.06	-0.58
548	1	0.69	0.53	-0.22	-0.38
549	1	0.48	0.46	0.06	0.04
550	1	0.52	0.49	-0.01	-0.04
551	1	0.35	0.23	0.42	0.3
552	1	0.08	0.01	0.91	0.84
553	1	0.57	0.2	0.23	-0.14
554	1	0.29	0.17	0.54	0.42
555	1	0.74	0.48	-0.22	-0.48
556	1	0.39	0.22	0.39	0.22
557	1	0.97	0.14	-0.11	-0.94
558	1	0.07	0.02	0.91	0.86
559	1	0.54	0.18	0.28	-0.08
560	1	0.99	0.63	-0.62	-0.98
561	1	0.83	0.43	-0.26	-0.66
562	1	0.69	0.21	0.1	-0.38
563	1	0.66	0.26	0.08	-0.32
564	1	0.62	0.41	-0.03	-0.24
565	1	0.91	0.74	-0.65	-0.82
566	1	0.17	0.13	0.7	0.66
567	1	0.74	0.03	0.23	-0.48
568	1	0.42	0.22	0.36	0.16
569	1	0.76	0.64	-0.4	-0.52
570	1	0.08	0.07	0.85	0.84
571	1	0.06	0.02	0.92	0.88
572	1	0.43	0.32	0.25	0.14
573	1	0.85	0.58	-0.43	-0.7
574	1	0.94	0.47	-0.41	-0.88
575	1	0.54	0.08	0.38	-0.08
576	1	0.09	0.05	0.86	0.82
577	1	0.65	0.29	0.06	-0.3
578	1	0.69	0.46	-0.15	-0.38
579	1	0.49	0.41	0.1	0.02
580	1	0.06	0.04	0.9	0.88
581	1	0.93	0.9	-0.83	-0.86
582	1	0.36	0.26	0.38	0.28
583	1	0.9	0.25	-0.15	-0.8
584	1	0.36	0.16	0.48	0.28
585	1	0.84	0.03	0.13	-0.68
586	1	0.52	0.36	0.12	-0.04
587	1	0.85	0.25	-0.1	-0.7
588	1	0.59	0.22	0.19	-0.18
589	1	0.77	0.6	-0.37	-0.54
590	1	0.14	0.07	0.79	0.72
591	1	0.19	0.16	0.65	0.62
592	1	0.92	0.17	-0.09	-0.84
593	1	0.48	0.43	0.09	0.04
594	1	0.45	0.16	0.39	0.1
595	1	0.36	0.24	0.4	0.28
596	1	0.45	0.18	0.37	0.1
597	1	0.47	0.37	0.16	0.06
598	1	0.26	0.22	0.52	0.48
599	1	0.34	0.18	0.48	0.32
600	1	0.36	0.1	0.54	0.28
601	1	0.19	0.08	0.73	0.62
602	1	0.46	0.09	0.45	0.08
603	1	0.47	0.0	0.53	0.06
604	1	0.27	0.21	0.52	0.46
605	1	0.05	0.04	0.91	0.9
606	1	0.37	0.08	0.55	0.26
607	1	0.24	0.14	0.62	0.52
608	1	0.85	0.23	-0.08	-0.7
609	1	0.83	0.26	-0.09	-0.66
610	1	0.15	0.11	0.74	0.7
611	1	0.09	0.03	0.88	0.82
612	1	0.51	0.49	0.0	-0.02
613	1	0.78	0.44	-0.22	-0.56
614	1	0.5	0.41	0.09	0.0
615	1	0.18	0.08	0.74	0.64
616	1	0.97	0.24	-0.21	-0.94
617	1	0.56	0.39	0.05	-0.12
618	1	0.83	0.6	-0.43	-0.66
619	1	0.15	0.04	0.81	0.7
620	1	0.29	0.1	0.61	0.42
621	1	0.84	0.82	-0.66	-0.68
622	1	0.27	0.06	0.67	0.46
623	1	0.47	0.02	0.51	0.06
624	1	0.22	0.17	0.61	0.56
625	1	0.03	0.01	0.96	0.94
626	1	0.71	0.68	-0.39	-0.42
627	1	0.92	0.66	-0.58	-0.84
628	1	0.61	0.05	0.34	-0.22
629	1	0.84	0.77	-0.61	-0.68
630	1	0.19	0.04	0.77	0.62
631	1	0.15	0.11	0.74	0.7
632	1	0.92	0.03	0.05	-0.84
633	1	0.73	0.64	-0.37	-0.46
634	1	0.1	0.04	0.86	0.8
635	1	0.98	0.07	-0.05	-0.96
636	1	0.24	0.06	0.7	0.52
637	1	0.52	0.0	0.48	-0.04
638	1	0.84	0.07	0.09	-0.68
639	1	0.92	0.11	-0.03	-0.84
640	1	0.36	0.08	0.56	0.28
641	1	0.53	0.44	0.03	-0.06
642	1	0.09	0.06	0.85	0.82
643	1	0.34	0.12	0.54	0.32
644	1	0.32	0.27	0.41	0.36
645	1	0.86	0.83	-0.69	-0.72
646	1	0.01	0.0	0.99	0.98
647	1	0.85	0.26	-0.11	-0.7
648	1	0.54	0.5	-0.04	-0.08
649	1	0.62	0.14	0.24	-0.24
650	1	0.86	0.25	-0.11	-0.72
651	1	0.88	0.26	-0.14	-0.76
652	1	0.22	0.16	0.62	0.56
653	1	0.93	0.92	-0.85	-0.86
654	1	0.13	0.07	0.8	0.74
655	1	0.97	0.02	0.01	-0.94
656	1	0.13	0.0	0.87	0.74
657	1	0.79	0.47	-0.26	-0.58
658	1	0.04	0.03	0.93	0.92
659	1	0.48	0.33	0.19	0.04
660	1	0.68	0.44	-0.12	-0.36
661	1	0.55	0.46	-0.01	-0.1
662	1	0.51	0.0	0.49	-0.02
663	1	0.67	0.07	0.26	-0.34
664	1	0.93	0.9	-0.83	-0.86
665	1	0.94	0.92	-0.86	-0.88
666	1	0.71	0.23	0.06	-0.42
667	1	0.78	0.09	0.13	-0.56
668	1	0.76	0.67	-0.43	-0.52
669	1	0.4	0.04	0.56	0.2
670	1	0.79	0.23	-0.02	-0.58
